Issue,Sub-issue,Product,Sub-product,Company,State,Date received,Timely response?
billing error,fees,Credit card,FHA,CreditCo,NY,2023-01-01,No
fraud charge,application,Bank account,FHA,BlueBank,CA,2023-01-02,Yes
account closed,other,Mortgage,FHA,Acme Corp,CA,2023-01-03,Yes
late payment,other,Bank account,HELOC,CreditCo,FL,2023-01-04,Yes
late payment,fees,Loan,HELOC,Epsilon,TX,2023-01-05,Yes
account closed,other,Loan,HELOC,Acme Corp,NY,2023-01-06,Yes
fraud charge,incorrect info,Bank account,Auto,DeltaLoans,CA,2023-01-07,Yes
interest rate,application,Mortgage,General,Epsilon,TX,2023-01-08,Yes
billing error,application,Bank account,Savings,Acme Corp,CA,2023-01-09,Yes
late payment,fees,Bank account,FHA,DeltaLoans,NY,2023-01-10,Yes
fraud charge,collections,Credit card,HELOC,Epsilon,TX,2023-01-11,Yes
fraud charge,incorrect info,Bank account,HELOC,DeltaLoans,NY,2023-01-12,Yes
interest rate,collections,Mortgage,FHA,Acme Corp,CA,2023-01-13,Yes
account closed,application,Loan,FHA,Acme Corp,FL,2023-01-14,Yes
late payment,incorrect info,Loan,Auto,BlueBank,IL,2023-01-15,Yes
interest rate,application,Bank account,General,BlueBank,TX,2023-01-16,Yes
account closed,incorrect info,Bank account,General,Epsilon,FL,2023-01-17,Yes
fraud charge,collections,Credit card,Savings,DeltaLoans,TX,2023-01-18,Yes
fraud charge,incorrect info,Mortgage,FHA,Acme Corp,IL,2023-01-19,No
billing error,other,Mortgage,Savings,CreditCo,IL,2023-01-20,Yes
fraud charge,collections,Credit card,Savings,DeltaLoans,NY,2023-01-21,No
interest rate,application,Bank account,General,CreditCo,IL,2023-01-22,Yes
billing error,other,Credit card,General,Acme Corp,IL,2023-01-23,Yes
account closed,fees,Loan,FHA,Acme Corp,CA,2023-01-24,Yes
late payment,incorrect info,Bank account,General,Epsilon,NY,2023-01-25,Yes
fraud charge,incorrect info,Credit card,Auto,DeltaLoans,TX,2023-01-26,No
fraud charge,collections,Credit card,Savings,Epsilon,TX,2023-01-27,No
fraud charge,application,Bank account,Auto,DeltaLoans,IL,2023-01-28,Yes
fraud charge,incorrect info,Credit card,Auto,BlueBank,IL,2023-01-29,No
billing error,incorrect info,Bank account,Savings,Epsilon,TX,2023-01-30,Yes
billing error,application,Mortgage,FHA,BlueBank,CA,2023-01-31,Yes
billing error,incorrect info,Mortgage,FHA,DeltaLoans,TX,2023-02-01,No
fraud charge,fees,Mortgage,General,Epsilon,FL,2023-02-02,Yes
fraud charge,fees,Bank account,Auto,DeltaLoans,TX,2023-02-03,Yes
late payment,collections,Bank account,General,CreditCo,NY,2023-02-04,No
account closed,application,Credit card,Auto,BlueBank,TX,2023-02-05,Yes
fraud charge,fees,Loan,Auto,CreditCo,TX,2023-02-06,Yes
billing error,other,Loan,Savings,DeltaLoans,FL,2023-02-07,No
interest rate,incorrect info,Mortgage,FHA,Acme Corp,NY,2023-02-08,No
