Unnamed: 0,Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
22863,1194445,Bank account or service,Checking account,Problems caused by my funds being low,,TX,75662.0,2015-01-15,2015-01-15,BBVA Compass,Closed with explanation,Yes,Yes
6688,1249656,Debt collection,,Communication tactics,Called after sent written cease of comm,OH,44134.0,2015-02-20,2015-02-20,"Halsted Financial Services, LLC.",Closed with explanation,Yes,Yes
8703,1243513,Credit card,,Closing/Cancelling account,,IL,60091.0,2015-02-17,2015-02-17,Discover,Closed with explanation,Yes,
4685,1256840,Debt collection,Credit card,Improper contact or sharing of info,Talked to a third party about my debt,PA,19010.0,2015-02-25,2015-03-11,"First Step Group, LLC",Closed,Yes,
7922,1244297,Credit reporting,,Incorrect information on credit report,Public record,VA,20190.0,2015-02-18,2015-02-18,TransUnion,Closed with explanation,Yes,Yes
9254,1241289,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,OH,43502.0,2015-02-14,2015-02-15,"Caliber Home Loans, Inc",Closed with explanation,Yes,
943,1274517,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,TX,78225.0,2015-03-09,2015-03-09,Equifax,Closed with explanation,Yes,Yes
20689,1202769,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,VA,20121.0,2015-01-21,2015-01-21,Bank of America,Closed with explanation,Yes,
22213,1196811,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,OH,45694.0,2015-01-16,2015-01-30,HSBC,Closed with explanation,Yes,Yes
11769,1232856,Consumer loan,Installment loan,Shopping for a loan or lease,,IL,60445.0,2015-02-09,2015-02-12,Avant Credit Corporation,Closed with explanation,Yes,Yes
27633,1178599,Debt collection,Payday loan,False statements or representation,Impersonated an attorney or official,MO,63366.0,2015-01-02,2015-01-06,Westgate Arbitration INC,Closed with explanation,Yes,No
5221,1254904,Credit reporting,,Incorrect information on credit report,Public record,SC,29115.0,2015-02-24,2015-02-24,Experian,Closed with explanation,Yes,
10463,1236658,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,ME,4605.0,2015-02-11,2015-02-11,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,Yes
9936,1239357,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,CO,80128.0,2015-02-12,2015-02-13,Bank of America,Closed with explanation,Yes,
17250,1213232,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,NC,27612.0,2015-01-28,2015-01-28,"Portfolio Recovery Associates, Inc.",Closed with non-monetary relief,Yes,
22000,1197525,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,NV,,2015-01-16,2015-01-16,TransUnion,Closed with explanation,Yes,
4952,1257246,Bank account or service,Checking account,"Account opening, closing, or management",,,33144.0,2015-02-25,2015-02-25,Bank of America,Closed with explanation,Yes,
5464,1254505,Credit reporting,,Incorrect information on credit report,Information is not mine,CA,93221.0,2015-02-24,2015-02-24,Equifax,Closed with explanation,Yes,
27433,1179543,Consumer loan,Vehicle loan,Managing the loan or lease,,NJ,8830.0,2015-01-03,2015-02-10,MOTORS FINANCIAL ACCEPTANCE CORPORATION,Closed with monetary relief,Yes,
1588,1268514,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,CA,90806.0,2015-03-05,2015-03-05,Specialized Loan Servicing LLC,Closed with explanation,Yes,
4384,1259439,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,WA,99336.0,2015-02-26,2015-02-26,Umpqua Holdings Corporation,Closed with explanation,Yes,
22151,1196627,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,OH,45252.0,2015-01-16,2015-01-16,Nationstar Mortgage,Closed with explanation,Yes,
626,1274986,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,TX,75006.0,2015-03-10,2015-03-10,"Credit Protection Association, L.P.",Closed with non-monetary relief,Yes,
20391,1202921,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,PA,19002.0,2015-01-21,2015-01-21,Citibank,Closed with explanation,Yes,
4320,1259045,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,FL,33317.0,2015-02-26,2015-02-26,"Green Tree Servicing, LLC",In progress,Yes,
5572,1254975,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,TX,78070.0,2015-02-24,2015-02-24,Citibank,In progress,Yes,
12717,1229997,Bank account or service,Checking account,Using a debit or ATM card,,NJ,7885.0,2015-02-06,2015-02-09,JPMorgan Chase,Closed with explanation,Yes,
15820,1218599,Debt collection,Payday loan,Improper contact or sharing of info,Contacted employer after asked not to,TX,76179.0,2015-01-30,2015-01-30,"National Credit Adjusters, LLC",Closed with explanation,Yes,
18580,1209786,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,SC,29607.0,2015-01-26,2015-01-27,EverBank,Closed with explanation,Yes,
7525,1249262,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77073.0,2015-02-19,2015-02-20,"Enhanced Acquisitions, LLC",Closed with explanation,Yes,
18985,1206780,Credit reporting,,Incorrect information on credit report,Account status,TX,76116.0,2015-01-23,2015-02-11,Equifax,Closed with explanation,Yes,
25046,1188104,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,NY,10541.0,2015-01-09,2015-01-09,Wells Fargo,Closed with explanation,Yes,
10670,1235081,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,NV,89104.0,2015-02-11,2015-02-18,Bank of America,In progress,Yes,
5516,1254605,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Frequent or repeated calls,MO,64068.0,2015-02-24,2015-03-03,TekCollect Inc.,Closed with explanation,Yes,
1758,1268556,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,NH,3779.0,2015-03-05,2015-03-05,Citibank,In progress,Yes,
24178,1191065,Mortgage,FHA mortgage,"Application, originator, mortgage broker",,CA,96145.0,2015-01-12,2015-01-15,"Shellpoint Partners, LLC",Closed with explanation,Yes,
12680,1229053,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,HI,96813.0,2015-02-06,2015-02-11,Ocwen,In progress,Yes,
24698,1189390,Credit reporting,,Credit reporting company's investigation,Inadequate help over the phone,FL,33614.0,2015-01-10,2015-01-14,TransUnion,Closed with explanation,Yes,
2730,1262931,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,KY,42420.0,2015-03-02,2015-03-02,"Asset Recovery Solutions, LLC",Untimely response,No,
2240,1267578,Consumer loan,Vehicle loan,Problems when you are unable to pay,,MI,49456.0,2015-03-04,2015-03-09,Ocwen,Closed,Yes,
4739,1256200,Bank account or service,Checking account,"Account opening, closing, or management",,KY,40509.0,2015-02-25,2015-02-26,U.S. Bancorp,Closed with non-monetary relief,Yes,
20088,1204721,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,CA,95472.0,2015-01-22,2015-01-22,Wells Fargo,Closed with explanation,Yes,
17166,1215814,Credit reporting,,Incorrect information on credit report,Account terms,CA,92880.0,2015-01-28,2015-02-03,TransUnion,Closed with explanation,Yes,
20408,1203236,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,NY,10977.0,2015-01-21,2015-02-03,Mullooly Jeffrey Rooney & Flynn,Closed with explanation,Yes,
20273,1203618,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,WA,98685.0,2015-01-21,2015-01-22,Encore Capital Group,Closed with non-monetary relief,Yes,
10606,1236505,Credit card,,Closing/Cancelling account,,WA,98012.0,2015-02-11,2015-02-11,Discover,Closed with explanation,Yes,
21369,1200408,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,2015-01-20,2015-01-21,Stellar Recovery Inc.,Closed with explanation,Yes,
9427,1239042,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,KS,67215.0,2015-02-13,2015-02-13,Experian,Closed with non-monetary relief,Yes,
10004,1237620,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,MN,55943.0,2015-02-12,2015-02-12,Experian,Closed with monetary relief,Yes,
26262,1182040,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Contacted me after I asked not to,CT,6511.0,2015-01-06,2015-01-06,"I.C. System, Inc.",Closed with explanation,Yes,
22709,1195344,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,KS,66213.0,2015-01-15,2015-01-15,U.S. Bancorp,Closed with explanation,Yes,
4745,1259540,Money transfers,International money transfer,Fraud or scam,,AZ,85032.0,2015-02-25,2015-02-26,MoneyGram,Closed with explanation,Yes,Yes
10977,1236637,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Debt is not mine,NY,11433.0,2015-02-11,2015-02-18,"Select Portfolio Servicing, Inc",Closed with explanation,Yes,
26447,1182725,Credit card,,Convenience checks,,CA,95822.0,2015-01-06,2015-01-06,Citibank,Closed with explanation,Yes,Yes
7070,1247381,Credit card,,Credit determination,,GA,31522.0,2015-02-19,2015-02-25,"Cavalry Investments, LLC",Closed with explanation,Yes,
26630,1183617,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,CA,95373.0,2015-01-06,2015-01-06,"Expert Global Solutions, Inc.",Closed with explanation,Yes,
15127,1220192,Credit reporting,,Incorrect information on credit report,Account terms,NC,28079.0,2015-02-02,2015-02-05,TransUnion,Closed with explanation,Yes,
16533,1216168,Credit card,,Other,,SC,29073.0,2015-01-29,2015-01-29,GE Capital Retail,Closed with non-monetary relief,Yes,
12933,1229348,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,FL,91402.0,2015-02-06,2015-02-11,Ocwen,Closed with explanation,Yes,
26266,1182039,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,IL,60146.0,2015-01-06,2015-01-26,Citibank,Closed with explanation,Yes,
3525,1260850,Credit reporting,,Credit monitoring or identity protection,Account terms and changes,CO,80439.0,2015-02-27,2015-02-27,TransUnion,Closed with explanation,Yes,
18614,1209936,Credit reporting,,Incorrect information on credit report,Account status,AZ,85395.0,2015-01-26,2015-02-11,LexisNexis,Closed with explanation,Yes,
25607,1186267,Credit card,,Closing/Cancelling account,,VT,5478.0,2015-01-08,2015-01-13,TD Bank,Closed with explanation,Yes,Yes
