Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?,y,days_to_forward,Date received_year,Date received_month,Date received_dow,p_yes,p_no,pred,expected_cost,high_cost_flag
1268527,Credit reporting,,Incorrect information on credit report,Account status,FL,34759.0,2015-03-04,2015-03-04,Equifax,In progress,Yes,,1,0.0,2015,3,2,0.6897295846892918,0.3102704153107082,1,3.4821633224856656,0
1196206,Debt collection,Payday loan,Communication tactics,Frequent or repeated calls,CO,80910.0,2015-01-15,2015-01-15,Pacific Rim Alliance Corporation,Closed,Yes,,1,0.0,2015,1,3,0.4034350783184028,0.5965649216815971,1,5.772519373452777,0
1242211,Credit reporting,,Incorrect information on credit report,Account status,TX,76226.0,2015-02-17,2015-02-17,Experian,Closed with explanation,Yes,,1,0.0,2015,2,1,0.6289855769707865,0.3710144230292135,1,3.968115384233708,0
1270817,Payday loan,,Charged fees or interest I didn't expect,,ME,4274.0,2015-03-06,2015-03-06,"CashCall, Inc.",Closed with explanation,Yes,,1,0.0,2015,3,4,0.3254860188706576,0.6745139811293424,1,6.396111849034739,0
1249461,Credit card,,Credit card protection / Debt protection,,GA,30317.0,2015-02-20,2015-02-20,GE Capital Retail,Closed with explanation,Yes,,1,0.0,2015,2,4,0.7545764673293884,0.24542353267061157,1,2.9633882613648925,0
1253566,Student loan,Non-federal student loan,Dealing with my lender or servicer,,CA,92008.0,2015-02-23,2015-02-24,Navient,Closed with explanation,Yes,,1,1.0,2015,2,0,0.6373687572659771,0.3626312427340229,1,4.1010499418721835,0
1237343,Student loan,Non-federal student loan,Dealing with my lender or servicer,,MI,48047.0,2015-02-11,2015-02-12,AES/PHEAA,Closed with explanation,Yes,,1,1.0,2015,2,2,0.5724397215576184,0.42756027844238165,1,4.620482227539053,0
1217223,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,MA,2360.0,2015-01-29,2015-01-29,Nationstar Mortgage,Closed with explanation,Yes,,1,0.0,2015,1,3,0.6567861379388049,0.3432138620611951,1,3.7457108964895607,0
1188878,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,TN,38018.0,2015-01-09,2015-01-14,"CCS Financial Services, Inc.",Closed with explanation,Yes,Yes,1,5.0,2015,1,4,0.3669192195336753,0.6330807804663248,1,22.0646462437306,1
1206230,Debt collection,Medical,Communication tactics,Threatened to take legal action,GA,30319.0,2015-01-23,2015-02-18,"Data-Central, LLC",Closed with explanation,Yes,,1,26.0,2015,1,4,0.09123111325085337,0.9087688867491466,0,13.470151093993174,0
1214023,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,ID,83877.0,2015-01-28,2015-01-28,"MST Financial Services, L.L.C.",Closed with non-monetary relief,Yes,,1,0.0,2015,1,2,0.5083548156739235,0.4916451843260765,1,4.933161474608612,0
1219850,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,NJ,7302.0,2015-02-01,2015-02-02,Nationstar Mortgage,Closed with explanation,Yes,,1,1.0,2015,2,6,0.6382697126229963,0.36173028737700375,1,4.09384229901603,0
1211861,Bank account or service,Other bank product/service,Deposits and withdrawals,,CA,91607.0,2015-01-27,2015-01-27,Bank of America,Closed with explanation,Yes,,1,0.0,2015,1,1,0.4588387118204637,0.5411612881795362,1,5.32929030543629,0
